O	 D	 AMOEBA	 FlowValue
50	125	0	2.486655108
31	45	0	1.246040315
70	120	0	0.690268456
4	96	0	2.383814643
149	50	0	0.064093757
23	146	0	0.339407318
63	43	0	0.180403205
11	49	0	0.054557527
1	123	0	-0.049136999
39	50	0	0.007921396
80	33	0	0.139828487
26	101	0	-0.277147619
27	145	0	-0.052843654
137	62	0	3.197562143
122	17	0	0.114081252
16	83	0	-11.09603717
48	138	0	0.612667512
134	72	0	0.675034287
52	62	0	0.415102746
126	29	0	-1.118888741
56	57	0	7.740489497
43	142	0	0.408116368
46	137	0	0.039797006
13	64	0	0.586842341
126	108	0	11.4444793
4	72	0	0.227888819
132	5	0	0.316519891
43	31	0	0.054200933
104	31	0	-0.110469566
32	145	0	0.133641125
70	130	0	-1.467151982
54	72	0	0.026224476
110	21	0	-0.539368588
2	98	0	0.059834289
148	133	0	0.245909139
39	43	0	-0.096275469
48	49	0	-0.141333374
128	121	0	0.07159466
98	1	0	-1.08429752
145	145	0	0.282207586
64	145	0	1.299323112
102	130	0	3.875263941
45	32	0	0.251886505
141	51	0	0.112427289
35	71	0	1.006153814
146	62	0	0.303464568
81	72	0	0.466786708
28	62	0	0.030942751
138	145	0	0.16636678
13	121	0	0.255720857
71	120	0	0.203471283
43	20	0	-0.066516521
8	50	0	-0.211457858
68	20	0	-0.291253458
148	140	0	0.093063142
80	31	0	0.11603538
44	45	0	1.393116378
122	35	0	-0.425482637
69	51	0	-0.583945766
46	100	0	-0.068760628
55	17	0	-0.007975365
132	100	0	0.119748388
25	38	0	-2.805344232
45	91	0	0.095317897
146	72	0	-0.716921357
39	72	0	0.12134291
4	62	0	0.330729316
132	11	0	0.19428607
48	80	0	0.358282971
29	82	0	-0.062262018
140	123	0	0.561045856
90	32	0	0.478554663
145	128	0	0.076731162
104	80	0	0.443642268
27	100	0	-0.052453326
122	42	0	0.331244673
103	124	0	-11.44219192
13	137	0	0.212192577
52	100	0	-1.210984743
145	17	0	0.044700647
113	82	0	0.70288745
138	48	0	-0.656541514
12	140	0	-6.334131619
106	51	0	-0.286853197
91	112	0	-1.991056021
96	101	0	-0.02801447
11	61	0	2.536849095
53	17	0	1.001020662
82	72	0	0.107493452
49	145	0	0.183072735
13	107	0	-0.162251427
89	10	0	8.254072463
38	125	0	-4.704270786
80	126	0	-0.073722833
43	2	0	-0.750916108
29	43	0	0.051443397
68	26	0	-3.603485244
145	121	0	0.063487853
110	46	0	-3.111248877
147	32	0	-1.001053498
148	146	0	-0.255562852
115	33	0	0.565057431
29	45	0	-0.026231604
46	124	0	0.037054687
122	53	0	0.532541268
13	130	0	0.275394179
52	99	0	-0.529358052
128	78	0	0.255790355
148	1	0	0.153901811
45	60	0	0.404413493
31	121	0	0.075974167
55	103	0	-1.547452128
45	77	0	0.06900382
13	100	0	0.014955481
90	131	0	0.163612695
3	146	0	0.782722643
43	123	0	-0.039013411
46	20	0	-0.043408449
110	49	0	0.160487488
41	33	0	5.411194806
104	138	0	0.281192071
12	51	0	-2.077093435
26	123	0	-0.183718287
138	146	0	0.092748042
134	47	0	-1.225169004
123	75	0	-0.514072509
126	32	0	1.249162783
146	34	0	1.274842294
111	131	0	-1.81976077
59	121	0	-0.097817304
45	70	0	-0.307220436
140	145	0	0.107437575
4	43	0	0.172200717
46	31	0	0.157130375
56	133	0	0.611535212
44	17	0	0.458464925
17	49	0	-1.147323239
136	140	0	0.966704336
138	45	0	0.668690442
49	43	0	-2.736676507
148	7	0	0.172895751
141	80	0	0.281895178
108	133	0	0.424397724
146	29	0	1.814184459
23	108	0	-1.01948072
82	29	0	0.650974693
3	128	0	2.127040717
135	82	0	0.22682701
140	31	0	0.10154194
82	51	0	3.161163397
58	45	0	0.434564
26	82	0	0.132014281
27	64	0	0.142180423
83	31	0	0.30250116
12	33	0	0.809298989
63	123	0	-0.053974602
35	128	0	0.007843935
148	30	0	0.128881161
62	49	0	0.359561035
141	73	0	-0.126026091
126	82	0	7.146034299
146	20	0	1.504519506
77	33	0	13.64533426
23	101	0	0.018843054
8	77	0	-0.062992889
82	44	0	1.300634674
71	82	0	0.105765214
30	72	0	-0.143579456
1	50	0	0.074321111
39	101	0	0.146774523
100	21	0	-0.066930596
135	75	0	0.612881913
11	121	0	0.092787535
72	121	0	0.215047142
145	101	0	0.059338094
33	122	0	1.487230328
122	73	0	0.776130811
123	77	0	0.206548835
51	79	0	3.338672994
24	107	0	-3.586459787
63	138	0	1.220480985
13	55	0	-0.0738389
96	31	0	0.168168796
149	2	0	-0.205574464
139	52	0	22.59010742
23	123	0	0.108108076
72	17	0	0.231825142
71	75	0	2.143315747
114	33	0	0.596370792
135	64	0	0.421385416
20	131	0	0.780947711
144	72	0	0.092264552
145	94	0	0.658702504
93	107	0	8.049381849
83	45	0	3.273581275
51	84	0	-0.807378342
6	70	0	1.935003775
45	25	0	-0.011473374
84	20	0	-0.249050043
123	51	0	0.073660235
13	48	0	-0.941191191
141	123	0	0.13118718
35	31	0	-0.041866382
6	114	0	-2.630079008
55	64	0	-0.150687296
39	138	0	-0.390799195
116	82	0	0.03082264
8	123	0	0.183076948
64	72	0	-0.224544602
50	55	0	-0.011568071
71	64	0	0.168415011
80	72	0	-0.122962909
90	17	0	-0.184372882
144	21	0	0.079763999
93	100	0	-0.42397118
115	11	0	0.794466636
79	49	0	0.840167098
11	80	0	-0.221287102
138	126	0	0.63492288
122	91	0	0.057815358
148	43	0	0.088840169
102	77	0	0.425251389
35	101	0	-0.194783047
38	51	0	-0.402457945
39	131	0	0.220766599
136	55	0	1.343186723
63	9	0	1.11119324
80	45	0	0.630854966
50	46	0	1.063983439
72	31	0	0.248689811
53	99	0	-1.366775181
39	16	0	0.638216735
80	79	0	1.774380651
145	72	0	-0.027907747
128	128	0	-0.882256626
147	83	0	0.240444065
4	133	0	0.071030302
