O	 D	 AMOEBA	 FlowValue
145	59	0	214.3592089
54	31	0	28.28688348
2	49	0	40.90941632
148	80	0	19.44491256
4	138	0	399.0119704
59	49	0	25.5683852
6	45	0	-28.64211322
119	27	0	-268.7979356
32	29	0	24.80548367
87	50	0	135.1829129
17	146	0	-50.05589575
146	109	0	-232.5862662
38	39	0	527.1741816
149	32	0	183.0187498
45	143	0	184.5086535
28	73	0	193.7337882
54	103	0	33.35056446
149	145	0	266.0377829
80	51	0	21.38540782
133	55	0	304.0542479
122	51	0	271.9001851
93	73	0	53.81494118
138	21	0	51.55835116
122	126	0	212.3359888
123	100	0	77.0212049
91	31	0	6.285974106
20	17	0	-21.48555419
81	101	0	62.21826166
45	119	0	285.3067047
144	131	0	84.52728118
35	33	0	-811.0209977
146	100	0	72.20737959
3	72	0	36.10595185
149	41	0	116.2047528
8	29	0	-297.665804
28	64	0	150.7814539
32	131	0	42.26364059
71	34	0	528.7408415
44	64	0	-110.1864471
122	22	0	314.4851877
52	128	0	41.22011542
2	3	0	47.96738218
41	100	0	19.25530123
87	83	0	-129.5647273
91	20	0	802.2850266
108	50	0	58.9258851
131	119	0	2417.598919
43	137	0	-110.3306241
6	31	0	4.190649404
46	134	0	563.6272545
31	45	0	297.1619246
70	120	0	70.06431904
4	96	0	1943.960316
149	50	0	162.9127412
23	146	0	325.3633224
63	43	0	84.25605415
11	49	0	12.7841926
39	50	0	3.466228535
80	33	0	27.7746917
137	62	0	899.0137819
122	17	0	158.993101
16	83	0	-427.5636001
48	138	0	199.5059852
52	62	0	260.7139967
126	29	0	-99.22193466
56	57	0	733.1714246
43	142	0	205.1029617
46	137	0	61.29479117
126	108	0	1014.88498
4	72	0	185.8394581
132	5	0	203.5830619
43	31	0	27.23922113
104	31	0	-59.71675401
32	145	0	74.82312644
54	72	0	9.557457844
110	21	0	-85.93058527
2	98	0	47.00426172
148	133	0	369.2655236
39	43	0	-42.12802707
128	121	0	21.74243907
98	1	0	-48.653514
64	145	0	141.3325722
102	130	0	570.8612559
45	32	0	404.5677627
141	51	0	33.60564086
35	71	0	528.7368477
146	62	0	35.96055128
81	72	0	37.16789161
28	62	0	17.98027564
71	120	0	84.07718285
8	50	0	-194.108798
68	20	0	-14.85713012
148	140	0	139.7467788
80	31	0	23.04857172
44	45	0	110.9881887
122	35	0	-592.9879179
69	51	0	-24.44046608
46	100	0	-105.9041567
55	17	0	-2.148555419
132	100	0	77.0212049
25	38	0	-770.1764
45	91	0	153.094935
146	72	0	-84.95518083
39	72	0	53.09698802
4	62	0	269.7041346
132	11	0	124.9632461
48	80	0	116.6694754
140	123	0	86.82913986
90	32	0	105.9582236
145	128	0	70.07419621
104	80	0	239.8205883
27	100	0	-19.25530123
103	124	0	-513.6399954
52	100	0	-760.5843984
145	17	0	40.82255296
113	82	0	65.55550093
138	48	0	-295.2782326
12	140	0	-391.2909807
106	51	0	-12.22023304
91	112	0	-202.5282274
96	101	0	-4.014081398
11	61	0	594.4471641
53	17	0	182.6272106
82	72	0	9.557457844
49	145	0	27.71226905
13	107	0	-365.575019
89	10	0	290.6011292
80	126	0	-14.64386129
43	2	0	-377.3803994
29	43	0	63.19204061
145	121	0	57.97983751
110	46	0	-495.6748373
148	146	0	-383.7618674
115	33	0	88.87901344
46	124	0	57.0711106
13	130	0	620.5013651
52	99	0	-332.474441
128	78	0	77.68046142
148	1	0	231.1041915
45	77	0	110.8305545
13	100	0	33.69677714
90	131	0	36.22597765
3	146	0	100.1117915
43	123	0	-19.60657997
46	20	0	-66.85708555
110	49	0	25.5683852
41	33	0	216.6425953
104	138	0	152.0045601
12	51	0	-128.3124469
138	146	0	41.71324646
134	47	0	-387.40579
123	75	0	-383.7808316
126	32	0	110.7745065
146	34	0	151.0688118
111	131	0	-72.4519553
59	121	0	-14.49495938
140	145	0	16.62736143
4	43	0	140.4267569
46	31	0	242.0100031
56	133	0	57.92400371
44	17	0	36.52544212
17	49	0	-102.2735408
136	140	0	363.341625
49	43	0	-414.2589329
148	7	0	259.6261384
141	80	0	84.26128777
108	133	0	267.8985171
146	29	0	214.9808584
82	29	0	57.87946189
3	128	0	272.0527617
135	82	0	21.85183364
140	31	0	15.71493526
82	51	0	281.0653599
58	45	0	28.64211322
26	82	0	38.24070887
27	64	0	52.19358019
83	31	0	18.85792232
12	33	0	49.99444506
63	123	0	-25.20845996
35	128	0	4.122011542
148	30	0	193.5323337
62	49	0	17.89786964
126	82	0	633.7031756
146	20	0	178.2855615
77	33	0	588.8234641
23	101	0	18.06336629
8	77	0	-57.82463715
82	44	0	115.6420301
71	82	0	43.70366728
1	50	0	38.12851389
39	101	0	64.22530236
100	21	0	-21.48264632
135	75	0	59.04320487
11	121	0	21.74243907
72	121	0	39.86113829
145	101	0	54.19009887
33	122	0	202.214246
123	77	0	154.1990324
51	79	0	408.1026935
24	107	0	-91.39375476
63	138	0	570.0171005
96	31	0	24.09623407
149	2	0	-522.5267069
139	52	0	884.086444
23	123	0	103.6347798
72	17	0	42.97110838
71	75	0	885.648073
114	33	0	38.88456838
135	64	0	40.59500681
20	131	0	60.37662941
144	72	0	124.246952
93	107	0	1370.906321
83	45	0	204.0750567
51	84	0	-98.68989169
6	70	0	259.7065316
45	25	0	-18.4279712
123	51	0	54.99104868
13	48	0	-2120.63458
141	123	0	39.21315994
35	31	0	-22.00090937
6	114	0	-352.996054
55	64	0	-40.59500681
39	138	0	-171.0051302
116	82	0	10.92591682
8	123	0	168.0563997
64	72	0	-24.42461449
50	55	0	-5.736872601
71	64	0	69.59144025
90	17	0	-40.82255296
144	21	0	107.4132316
115	11	0	124.9632461
79	49	0	40.90941632
11	80	0	-51.85310017
138	126	0	285.5552952
122	91	0	80.57628157
148	43	0	133.4054191
102	77	0	62.64335691
38	51	0	-21.38540782
39	131	0	96.60260706
63	9	0	518.9750243
80	45	0	125.3092453
50	46	0	527.6538591
72	31	0	46.09714344
53	99	0	-249.3558308
39	16	0	279.2696026
80	79	0	352.4523262
128	128	0	-267.9307502
147	83	0	32.39118182
4	133	0	57.92400371
5	17	0	-49.41677463
100	145	0	16.62736143
122	21	0	-60.15140969
138	121	0	65.2273172
47	33	0	33.32963004
30	43	0	-56.17070277
55	33	0	177.7580269
148	50	0	-62.39211364
116	49	0	61.36412449
45	11	0	117.6124669
96	45	0	50.12369813
149	29	0	223.249353
124	32	0	28.89769734
144	46	0	-159.8951088
48	31	0	30.38220818
11	101	0	216.7603955
12	109	0	-427.9587299
125	31	0	10.47662351
128	135	0	-76.27681947
137	146	0	-291.9927252
122	109	0	18.6069013
108	72	0	-50.9731085
55	62	0	179.8027564
23	17	0	68.7537734
84	33	0	105.5438285
31	49	0	-71.59147857
35	50	0	-152.5140556
149	38	0	-103.6775923
43	50	0	83.18948485
8	16	0	64.44683136
50	32	0	62.61167756
89	75	0	-14.76080122
100	48	0	630.8216788
140	49	0	46.02309337
143	100	0	81.83503021
126	60	0	-89.15380305
112	51	0	91.6517478
134	100	0	62.57972898
25	64	0	-40.59500681
64	37	0	-471.8802282
10	33	0	-449.9500056
149	47	0	70.43741636
29	116	0	365.9078435
53	126	0	58.57544517
136	29	0	-1116.246765
78	110	0	708.4770823
27	130	0	322.6607099
145	51	0	158.8630295
93	72	0	12.74327712
9	73	0	500.478953
123	103	0	-100.0516934
35	83	0	181.3906182
96	49	0	28.12522372
32	21	0	373.7980459
13	77	0	48.18719763
14	101	0	-210.7392734
146	101	0	46.16193607
75	73	0	53.81494118
149	40	0	18.62949048
63	45	0	436.7922265
139	78	0	815.6448449
70	145	0	19.39858834
97	21	0	-42.96529264
78	113	0	1433.658604
79	109	0	46.51725325
26	27	0	967.6725683
64	79	0	723.4547748
123	143	0	36.90173069
135	33	0	99.98889012
112	33	0	161.0932119
112	73	0	16.14448235
148	103	0	516.9337491
61	120	0	-49.04502333
11	31	0	23.04857172
138	29	0	1513.134504
87	82	0	27.31479205
56	51	0	116.0922139
64	51	0	36.66069912
46	135	0	87.17350797
84	62	0	206.7731698
32	44	0	260.1945677
13	70	0	103.8826126
70	121	0	123.2071547
46	33	0	911.0098878
149	49	0	322.1616536
135	2	0	116.117046
11	48	0	53.68695139
39	45	0	211.235585
100	45	0	307.9027171
123	132	0	-117.7786938
107	6	0	-339.552809
145	45	0	390.2487926
148	110	0	154.016757
77	128	0	-37.09810387
150	131	0	132.8285847
145	146	0	225.2515309
9	123	0	-75.62537988
88	17	0	32.22833128
141	57	0	-91.64642808
25	91	0	-580.1492273
28	32	0	19.26513156
38	73	0	-43.05195294
13	56	0	22.26675573
116	131	0	54.33896647
7	44	0	-57.82101505
135	123	0	16.80563997
32	146	0	-33.37059717
1	115	0	63.22711179
2	99	0	872.7454077
148	134	0	1315.130261
115	77	0	24.09359881
133	33	0	38.88456838
122	25	0	73.71188481
51	31	0	9.428961159
32	31	0	32.47753288
42	109	0	-74.4276052
81	62	0	215.7633077
134	64	0	313.1614811
27	6	0	322.5751685
101	51	0	-259.6799521
91	101	0	-190.6688664
136	121	0	-21.74243907
102	18	0	385.7466609
141	131	0	66.41429236
71	123	0	210.0704997
91	146	0	66.74119433
8	51	0	-21.38540782
36	62	0	134.8520673
147	21	0	-30.07570485
118	45	0	146.7908302
