{(	145	,	80	):	77.77965025	,
(	27	,	80	):	369.4533387	,
(	50	,	80	):	-129.6327504	,
(	28	,	80	):	375.9349762	,
(	48	,	80	):	116.6694754	,
(	104	,	80	):	239.8205883	,
(	5	,	80	):	12.96327504	,
(	8	,	80	):	58.33473769	,
(	149	,	80	):	51.85310017	,
(	123	,	80	):	311.118601	,
(	45	,	80	):	-175.0042131	,
(	11	,	80	):	-51.85310017	,
(	13	,	80	):	32.4081876	,
(	134	,	80	):	25.92655008	,
(	118	,	80	):	-6.481637521	,
(	148	,	80	):	19.44491256	,
(	23	,	80	):	246.3022258	,
(	29	,	80	):	388.8982513	,
(	71	,	80	):	12.96327504	,
(	52	,	80	):	395.3798888	,
(	41	,	80	):	-45.37146265	,
(	126	,	80	):	-97.22456281	,
(	35	,	80	):	-84.26128777	,
(	100	,	80	):	64.81637521	,
(	19	,	80	):	187.9674881	,
(	141	,	80	):	84.26128777	,
(	46	,	80	):	71.29801273	,
(	80	,	92	):	1241.163456	,
(	89	,	92	):	-188.8726998	,
(	148	,	92	):	431.7090281	,
(	35	,	92	):	-2212.508769	,
(	145	,	93	):	454.1326067	,
(	135	,	93	):	-1544.050863	,
(	65	,	93	):	1998.18347	,
(	29	,	93	):	1362.39782	,
(	122	,	81	):	2113.367047	,
(	13	,	81	):	1018.944826	,
(	135	,	117	):	-258.2168284	,
(	150	,	117	):	1955.070272	,
(	45	,	124	):	228.2844424	,
(	46	,	124	):	57.0711106	,
(	103	,	124	):	-513.6399954	,
(	28	,	22	):	398.3479045	,
(	122	,	22	):	314.4851877	,
(	123	,	22	):	272.5538294	,
(	112	,	22	):	41.93135837	,
(	91	,	22	):	-377.3822253	,
(	149	,	54	):	337.8541435	,
(	145	,	23	):	1234.780611	,
(	59	,	23	):	430.7374225	,
(	146	,	23	):	-287.1582816	,
(	13	,	23	):	516.884907	,
(	138	,	62	):	35.96055128	,
(	1	,	62	):	251.7238589	,
(	115	,	62	):	-8.990137819	,
(	2	,	62	):	269.7041346	,
(	26	,	62	):	134.8520673	,
(	3	,	62	):	35.96055128	,
(	27	,	62	):	143.8422051	,
(	4	,	62	):	269.7041346	,
(	108	,	62	):	467.4871666	,
(	50	,	62	):	404.5562018	,
(	28	,	62	):	17.98027564	,
(	43	,	62	):	89.90137819	,
(	48	,	62	):	242.7337211	,
(	104	,	62	):	1708.126186	,
(	122	,	62	):	-593.349096	,
(	80	,	62	):	161.8224807	,
(	81	,	62	):	215.7633077	,
(	47	,	62	):	1096.796814	,
(	83	,	62	):	-251.7238589	,
(	84	,	62	):	206.7731698	,
(	146	,	62	):	35.96055128	,
(	144	,	62	):	476.4773044	,
(	63	,	62	):	-8.990137819	,
(	136	,	62	):	413.5463397	,
(	87	,	62	):	125.8619295	,
(	148	,	62	):	521.4279935	,
(	23	,	62	):	575.3688204	,
(	93	,	62	):	89.90137819	,
(	71	,	62	):	-44.95068909	,
(	52	,	62	):	260.7139967	,
(	72	,	62	):	188.7928942	,
(	96	,	62	):	-35.96055128	,
(	55	,	62	):	179.8027564	,
(	32	,	62	):	-71.92110255	,
(	137	,	62	):	899.0137819	,
(	17	,	62	):	242.7337211	,
(	116	,	62	):	503.4477179	,
(	119	,	62	):	314.6548237	,
(	36	,	62	):	134.8520673	,
(	141	,	62	):	17.98027564	,
(	145	,	128	):	70.07419621	,
(	3	,	128	):	272.0527617	,
(	27	,	128	):	90.68425392	,
(	108	,	128	):	136.0263809	,
(	59	,	128	):	24.73206925	,
(	104	,	128	):	28.85408079	,
(	128	,	128	):	-267.9307502	,
(	6	,	128	):	284.4187964	,
(	83	,	128	):	362.7370157	,
(	8	,	128	):	-98.928277	,
(	149	,	128	):	-45.34212696	,
(	123	,	128	):	-131.9043693	,
(	144	,	128	):	98.928277	,
(	45	,	128	):	-123.6603462	,
(	40	,	128	):	74.19620775	,
(	136	,	128	):	259.6867271	,
(	12	,	128	):	-28.85408079	,
(	66	,	128	):	169.0024732	,
(	110	,	128	):	-78.31821929	,
(	118	,	128	):	131.9043693	,
(	90	,	128	):	123.6603462	,
(	89	,	128	):	-16.48804617	,
(	148	,	128	):	82.44023083	,
(	53	,	128	):	-65.95218467	,
(	113	,	128	):	-98.928277	,
(	23	,	128	):	255.5647156	,
(	29	,	128	):	156.6364386	,
(	52	,	128	):	41.22011542	,
(	72	,	128	):	41.22011542	,
(	150	,	128	):	20.61005771	,
(	31	,	128	):	-152.514427	,
(	32	,	128	):	-201.9785655	,
(	137	,	128	):	-152.514427	,
(	34	,	128	):	-115.4163232	,
(	35	,	128	):	4.122011542	,
(	74	,	128	):	622.4237428	,
(	147	,	128	):	338.0049464	,
(	100	,	128	):	-218.4666117	,
(	19	,	128	):	148.3924155	,
(	77	,	128	):	-37.09810387	,
(	54	,	128	):	28.85408079	,
(	39	,	128	):	-201.9785655	,
(	3	,	24	):	175.6658835	,
(	8	,	24	):	-1789.596188	,
(	139	,	24	):	43.91647087	,
(	149	,	24	):	109.7911772	,
(	10	,	24	):	131.7494126	,
(	12	,	24	):	-109.7911772	,
(	138	,	82	):	120.185085	,
(	1	,	82	):	327.7775046	,
(	135	,	82	):	21.85183364	,
(	2	,	82	):	289.5367958	,
(	26	,	82	):	38.24070887	,
(	27	,	82	):	76.48141775	,
(	108	,	82	):	486.2032985	,
(	28	,	82	):	-158.4257939	,
(	44	,	82	):	-38.24070887	,
(	8	,	82	):	-207.5924196	,
(	149	,	82	):	322.3145462	,
(	123	,	82	):	-366.0182135	,
(	63	,	82	):	-704.721635	,
(	112	,	82	):	213.055378	,
(	90	,	82	):	666.4809261	,
(	87	,	82	):	27.31479205	,
(	148	,	82	):	557.2217579	,
(	113	,	82	):	65.55550093	,
(	29	,	82	):	-76.48141775	,
