O	 D	 AMOEBA	 FlowValue
49	86	0	178.3673442
87	33	0	96.51640135
135	32	0	311.4068323
46	67	0	23.37380031
19	31	0	195.9704506
147	82	0	193.0014698
97	121	0	637.603796
78	133	0	36.63876014
100	146	0	299.0943051
87	73	0	128.6885351
108	82	0	140.9914391
91	10	0	108.1410553
6	49	0	59.60585628
87	62	0	90.0819746
82	17	0	213.6944394
63	49	0	87.78634943
104	62	0	351.4795439
124	33	0	252.2577065
150	117	0	104.7459811
11	100	0	29.87303958
29	131	0	172.5850307
50	78	0	4.032884137
146	112	0	497.8902954
40	72	0	120.4456489
8	17	0	4.357512078
63	62	0	38.54034853
54	29	0	32.92650803
24	32	0	196.2092375
6	35	0	52.15512424
126	121	0	169.149404
136	45	0	162.2961985
28	75	0	187.5810987
11	5	0	315.8007042
139	72	0	1354.25184
75	32	0	23.16691764
11	146	0	29.87303958
123	137	0	1.33949501
77	141	0	208.5650723
137	131	0	142.2697719
31	145	0	113.2146676
96	51	0	97.70668453
8	31	0	508.7395352
100	80	0	31.15565678
140	32	0	71.07642007
118	72	0	26.87401462
87	123	0	186.598376
93	40	0	205.5051905
11	51	0	136.5624667
140	72	0	32.30746367
2	105	0	146.3897736
147	45	0	311.771605
122	31	0	488.6333549
10	72	0	204.6105579
28	33	0	24.09298516
99	51	0	70.071847
63	82	0	25.69356569
85	33	0	184.1469902
53	72	0	257.6175311
137	37	0	39.12418728
17	82	0	89.74545944
41	84	0	524.5279249
49	101	0	601.1640121
40	43	0	264.0539226
4	49	0	128.7580489
63	91	0	4.282260948
8	131	0	18.51942633
118	34	0	206.0341121
19	78	0	7.441915847
68	123	0	117.6216894
80	121	0	85.58454242
63	64	0	98.49200181
29	80	0	53.72930201
17	76	0	11.21818243
128	73	0	9.878559574
10	101	0	859.3643432
146	46	0	497.8902954
25	45	0	404.3141411
50	31	0	441.6008131
103	121	0	579.1935843
29	41	0	55.35746267
143	33	0	177.338957
136	128	0	167.6173854
108	145	0	316.8346946
146	41	0	92.82700423
129	16	0	18.15771794
36	84	0	229.7496318
84	131	0	93.87278897
17	62	0	302.8909256
83	128	0	1411.613731
143	55	0	76.68711656
36	83	0	648.011782
9	55	0	546.4651511
24	31	0	1451.948358
74	51	0	132.7521738
8	72	0	8.715024156
64	101	0	128.7072278
84	145	0	13.41039842
12	35	0	80.93889114
134	31	0	322.5745242
63	45	0	321.1695711
80	92	0	231.581703
135	96	0	321.78706
22	20	0	1369.809401
47	112	0	480.0672094
6	77	0	111.7609805
120	33	0	300.2452002
123	60	0	36.16636528
135	45	0	1681.596894
53	31	0	920.8456432
143	2	0	335.506135
5	45	0	129.4067625
27	80	0	155.2735812
97	133	0	578.2918149
107	44	0	314.556717
95	72	0	652.2644579
29	31	0	145.7203796
87	32	0	102.9508281
29	15	0	16.28160667
63	11	0	184.1372208
87	145	0	231.6393632
110	114	0	182.0270279
128	49	0	62.56421064
116	51	0	205.9371976
3	86	0	39.09243014
29	96	0	61.87010534
48	21	0	307.0922966
29	17	0	25.23649034
133	83	0	283.5959972
45	2	0	19.30080049
88	113	0	1445.442244
99	83	0	70.071847
29	121	0	49.65890033
68	52	0	627.315677
143	102	0	143.7883436
6	145	0	141.5639087
101	29	0	68.34569251
66	128	0	409.9631033
89	33	0	426.0516375
75	82	0	417.0045175
137	49	0	28.45395439
47	62	0	2440.341648
123	121	0	50.90081039
92	49	0	482.3080633
20	131	0	219.8882451
80	45	0	176.2034697
7	73	0	97.73140965
11	138	0	98.15427291
140	33	0	342.4591149
52	131	0	60.50271387
150	142	0	17.7870534
6	131	0	163.9161048
118	73	0	80.62204386
136	6	0	47.89068154
139	121	0	357.7269011
124	70	0	423.7929469
90	82	0	614.2367431
108	31	0	185.3482964
43	131	0	344.237504
29	93	0	12.211205
103	75	0	423.2568501
19	72	0	215.8155596
101	49	0	358.8148857
74	21	0	575.2594199
6	12	0	417.2409939
40	44	0	46.32524958
7	39	0	280.9778028
44	40	0	188.2790044
137	45	0	56.90790878
32	51	0	182.1815707
57	45	0	212.472113
149	31	0	198.6790401
138	72	0	155.6427155
78	83	0	219.8325609
12	56	0	2395.791178
138	142	0	211.2293996
63	72	0	68.51617517
110	45	0	37.66076439
118	61	0	53.74802924
1	44	0	161.7858034
29	33	0	130.2528533
140	100	0	90.46089828
137	64	0	42.68093159
146	33	0	565.4008439
90	56	0	112.911166
103	100	0	66.83002896
81	17	0	263.7362637
123	33	0	170.1158663
87	31	0	225.2049365
116	64	0	186.1897951
136	30	0	45.23008812
29	51	0	42.33217733
123	73	0	34.82687027
123	38	0	38.8453553
63	31	0	370.415572
124	31	0	635.6894203
34	40	0	546.0184336
128	45	0	95.49274255
80	84	0	231.581703
100	31	0	233.6674258
137	19	0	46.23767588
36	73	0	300.4418262
82	138	0	213.6944394
123	52	0	9.376465073
82	29	0	78.72953032
90	109	0	144.5262925
51	49	0	327.238516
137	101	0	81.80511887
20	121	0	155.2152318
8	101	0	8.715024154
63	10	0	17.12904379
68	45	0	901.7662857
104	72	0	488.3715768
128	131	0	141.5926872
19	142	0	16.124151
25	123	0	309.6099279
136	33	0	13.30296709
63	51	0	21.41130474
48	131	0	162.7589172
55	138	0	159.6145494
118	101	0	71.66403899
87	64	0	173.7295224
3	49	0	164.1882066
138	109	0	280.1568879
146	110	0	177.2151899
149	35	0	8.65532452
28	78	0	25.81391267
100	51	0	62.31131355
128	145	0	431.3637681
55	131	0	189.3102796
148	92	0	10.65505975
133	91	0	344.3665681
38	91	0	56.45783541
124	49	0	70.63215781
144	31	0	227.97515
53	123	0	328.873444
54	123	0	5.487751339
133	51	0	384.880282
26	31	0	193.3227696
46	90	0	18.82889469
112	45	0	110.289595
46	131	0	11.03762792
89	41	0	142.0172125
8	1	0	20.69818237
104	21	0	234.9363267
90	72	0	180.6578656
93	45	0	117.4315374
7	72	0	219.8956717
126	143	0	552.5547198
55	145	0	278.3974699
6	128	0	514.1005104
50	121	0	330.6964993
145	145	0	101.8348895
53	33	0	104.1432573
128	17	0	135.0069808
50	112	0	125.0194083
2	126	0	137.4790917
148	129	0	19.31229581
108	45	0	164.7540413
40	45	0	88.0179742
21	21	0	1096.398752
9	136	0	437.1721209
29	85	0	37.44769534
140	120	0	245.5367239
2	121	0	196.0350012
33	131	0	80.90198357
17	73	0	112.1818243
29	101	0	10.58304433
101	57	0	179.4074428
126	51	0	45.10650774
53	55	0	372.7232366
68	31	0	725.3337515
16	45	0	259.5178159
112	64	0	231.1839588
81	45	0	690.7378336
29	59	0	20.35200834
138	143	0	24.458141
99	101	0	14.0143694
63	75	0	17.12904379
122	49	0	164.3128315
25	46	0	258.6153516
31	101	0	230.622471
25	52	0	80.13433428
99	29	0	163.5009763
1	35	0	11.69535928
72	72	0	253.5606388
143	40	0	584.7392638
30	51	0	159.7876054
70	59	0	384.2250968
126	36	0	56.38313468
143	49	0	28.75766871
137	72	0	345.004197
123	32	0	49.56131538
136	31	0	476.246222
63	17	0	100.6331323
140	132	0	96.92239101
90	145	0	311.6348181
74	128	0	1670.464854
95	95	0	322.202925
33	55	0	139.7397898
123	72	0	346.9292077
80	133	0	20.13753939
6	72	0	2153.261558
123	57	0	14.73444511
146	16	0	50.63291139
55	78	0	55.67949398
48	101	0	230.3192224
82	40	0	269.9298182
124	143	0	50.45154129
66	48	0	299.9730024
87	44	0	147.9918154
53	29	0	361.7607884
129	114	0	254.2080511
26	49	0	182.9661927
22	45	0	391.3741145
19	131	0	54.57404954
107	145	0	1451.800232
123	95	0	25.4504052
141	31	0	531.9326888
59	33	0	26.99346758
84	31	0	120.6935858
3	83	0	187.6436647
8	102	0	18.51942633
8	126	0	21.78756039
136	51	0	340.5559576
17	121	0	44.87272972
97	126	0	874.85172
98	100	0	89.14443627
123	84	0	57.59828545
6	52	0	74.50732034
82	125	0	101.2236818
29	128	0	80.59395301
43	49	0	145.2562878
29	126	0	120.4838893
54	110	0	65.85301607
141	17	0	163.9289418
84	45	0	177.6877791
45	145	0	169.9715656
72	49	0	118.6879586
71	43	0	152.4633725
39	2	0	2.285306848
128	146	0	13.17141277
106	126	0	375.5780381
118	125	0	107.4960585
54	131	0	79.57239442
45	121	0	242.1939158
139	77	0	868.7653312
123	138	0	8.036970062
100	138	0	305.3254364
137	128	0	53.35116446
123	123	0	49.56131539
59	77	0	155.2124386
90	73	0	121.9440593
123	131	0	25.4504052
118	79	0	223.9501218
123	22	0	17.41343513
128	31	0	98.78559574
40	145	0	27.79514975
136	79	0	276.7017156
11	52	0	46.94334791
125	121	0	428.1297074
7	64	0	97.73140965
134	77	0	142.3122901
38	77	0	376.3855694
8	48	0	6.536268118
28	83	0	20.65113013
11	45	0	17.07030833
133	45	0	303.8528542
123	145	0	170.1158663
9	68	0	608.9183113
91	121	0	766.8183918
23	78	0	8.345312334
84	72	0	499.5373413
139	24	0	102.207686
53	45	0	180.8803942
7	33	0	73.29855724
33	17	0	73.54725779
1	72	0	130.5981786
78	78	0	311.4294612
137	83	0	14.2269772
48	45	0	171.9716861
17	72	0	583.3454864
76	32	0	1491.509867
96	99	0	20.93714669
149	72	0	103.8638942
150	78	0	158.1071413
90	45	0	207.7565455
59	128	0	40.49020137
93	31	0	52.84419184
44	33	0	163.1751371
58	133	0	197.2386588
41	75	0	299.7302428
91	119	0	314.5921608
106	79	0	305.1571559
90	133	0	85.81248617
8	37	0	5.446890098
118	128	0	286.6561559
2	72	0	151.4815918
61	32	0	46.19506637
52	31	0	113.0445443
45	72	0	128.2569323
110	75	0	94.15191097
93	145	0	111.5599605
8	44	0	42.48574277
100	101	0	68.54244491
9	51	0	421.5588309
146	31	0	50.6329114
143	131	0	91.06595092
114	49	0	368.0868685
115	133	0	178.0128678
80	143	0	90.61892727
63	131	0	74.93956659
87	25	0	12.86885351
1	131	0	40.93375749
40	98	0	1005.257916
14	33	0	95.08414947
4	31	0	232.9907552
29	49	0	43.960338
69	138	0	262.8183686
36	25	0	270.9867452
17	45	0	280.4545608
143	140	0	71.89417178
123	56	0	5.357980042
135	2	0	41.52091097
72	128	0	53.94907208
8	114	0	96.95464375
29	146	0	4.884482001
11	44	0	59.74607916
93	109	0	135.046268
118	31	0	277.6981511
137	121	0	39.12418728
66	49	0	199.9820016
114	73	0	199.3803871
82	145	0	359.9064243
102	84	0	1025.056174
123	49	0	85.72768066
96	29	0	690.9258406
4	126	0	132.4368503
8	121	0	9.804402177
82	32	0	821.0365305
137	17	0	643.7707181
72	101	0	339.8791541
48	55	0	159.6879942
35	2	0	53.28228383
4	101	0	176.5824671
50	131	0	22.18086275
69	101	0	334.4961055
95	45	0	471.5164756
43	72	0	244.7468959
29	21	0	115.5994073
140	56	0	77.53791281
148	72	0	182.4678983
116	62	0	157.9792201
33	122	0	88.25670935
146	132	0	151.8987342
47	68	0	180.0252035
22	55	0	1187.168147
66	21	0	169.9847014
8	21	0	130.7253624
140	46	0	187.3832893
126	131	0	857.0236472
54	128	0	19.20712969
6	39	0	67.05658831
136	66	0	45.23008812
65	93	0	517.5618133
124	51	0	121.0836991
119	121	0	68.95719482
138	31	0	246.8048774
91	21	0	953.6074873
70	123	0	187.1865856
91	130	0	186.7890954
29	72	0	193.7511194
54	112	0	131.7060321
