O, D, AMOEBA, FlowValue
108, 49, 0, 50.69355115
54, 29, 0, 32.92650803
19, 45, 0, 102.9465025
148, 82, 0, 67.92600594
24, 32, 0, 196.2092375
100, 128, 0, -165.1249809
108, 64, 0, -11.08921431
50, 123, 0, 24.19730482
59, 51, 0, 74.23203585
6, 35, 0, 52.15512424
45, 124, 0, 2.490425869
50, 73, 0, 18.14797862
126, 121, 0, 169.149404
79, 33, -4, -82.14901832
8, 24, 0, -177.5686172
134, 135, 0, -22.13746735
28, 75, 0, 187.5810987
11, 5, 0, 315.8007042
139, 72, 0, 1354.25184
75, 32, 0, 23.16691764
26, 17, 0, -44.87850009
137, 50, 0, -39.12418728
46, 84, 0, 28.56797815
11, 146, 0, 29.87303958
105, 51, 0, -977.7637597
15, 49, 0, 152.5397875
112, 72, -4, -57.26575126
77, 141, 0, 208.5650723
137, 131, 0, 124.4860504
30, 29, 0, -110.6221884
94, 72, 0, -100.5227181
109, 71, 0, -35.22242964
59, 72, 0, 107.9738703
25, 72, 0, -630.1472651
79, 133, 0, -61.61176374
89, 43, 1, 4601.357685
96, 51, 0, 97.70668453
149, 55, 0, -11.80271525
132, 17, 0, 7.773728529
8, 31, 0, 369.2991487
100, 80, 0, 31.15565678
