O, D, AMOEBA, FlowValue
149, 32, 0, 14.95010599
45, 143, 0, 3.113032336
28, 73, 0, 61.9533904
54, 103, 0, 5.487751339
149, 145, 0, 37.76868881
80, 51, 0, 35.24069394
133, 55, 0, 1073.613418
122, 51, 0, 63.85957208
93, 73, 0, 58.71576871
138, 21, 0, 26.68160837
122, 126, 0, 20.80817517
123, 100, 0, 21.43192017
35, 80, 0, -24.73820321
91, 31, 0, 58.98603014
20, 17, 0, -129.3460265
81, 101, 0, 389.3249608
45, 119, 0, 11.82952288
144, 131, 0, 10.39626091
35, 33, 0, -277.8290514
146, 100, 0, 126.5822785
3, 72, 0, 265.828525
149, 41, 0, 8.65532452
8, 29, 0, -39.21760871
28, 64, 0, 44.74411529
32, 131, 0, 12.50265681
71, 34, 0, 16.94037472
44, 64, 0, -238.4867389
122, 22, 0, 10.76284923
52, 128, 0, 15.92176681
112, 32, 0, 137.8619938
2, 3, 0, 2.545909106
41, 100, 0, 99.91008093
122, 121, 0, -34.44111753
87, 83, 0, -128.6885351
91, 20, 0, 2123.497085
108, 50, 0, 26.93094905
131, 119, 2, 8797.814208
43, 137, 0, -17.90830946
6, 31, 0, 29.80292814
46, 134, 0, 5.843450077
50, 125, 0, 149.2167131
31, 45, 0, 348.0302744
70, 120, 0, 98.51925559
4, 96, 0, 35.56174684
149, 50, 0, 18.49092056
23, 146, 0, 40.68339763
63, 43, 0, 25.69356569
11, 49, 0, 21.33788542
1, 123, 0, -17.54303892
39, 50, 0, 2.285306848
80, 33, 0, 25.17192424
26, 101, 0, -138.0876926
27, 145, 0, -19.0686854
137, 62, 0, 355.6744299
122, 17, 0, 53.09672286
16, 83, 0, -1712.817585
48, 138, 0, 64.48938228
134, 72, 0, 635.6615624
52, 62, 0, 46.17312374
126, 29, 0, -135.3195232
56, 57, 0, 168.9207023
43, 142, 0, 9.949060809
46, 137, 0, 3.246361154
13, 64, 0, 101.192159
126, 108, 0, 304.4689273
4, 72, 0, 214.5967482
132, 5, 0, 17.10220276
43, 31, 0, 51.73511621
104, 31, 0, -105.4438632
32, 145, 0, 48.22453343
70, 130, 0, -59.11155335
54, 72, 0, 24.69488103
110, 21, 0, -125.5358813
2, 98, -4, 3.818863659
148, 133, 0, 33.96300297
39, 43, 0, -13.71184109
48, 49, 0, -55.27661339
128, 121, 0, 19.75711915
98, 1, 0, -89.14443627
145, 145, 0, 101.8348895
64, 145, 0, 468.8620442
102, 130, 0, 156.1343842
45, 32, 0, 52.29894325
141, 51, 0, 36.80037469
35, 71, 0, 38.05877416
146, 62, 0, 33.75527426
81, 72, 0, 439.5604396
28, 62, 0, 3.441855022
138, 145, 0, 60.03361883
13, 121, 0, 70.56821616
71, 120, 0, 29.04064238
43, 20, 0, -17.90830946
8, 50, 0, -61.0051691
68, 20, 0, -78.41445963
148, 140, 0, 3.329706173
80, 31, 0, 110.7564667
44, 45, 0, 389.1099424
122, 35, 0, -5.740186255
69, 51, 0, -191.1406317
46, 100, 0, -14.28398908
55, 17, 0, -3.711966266
132, 100, 0, 24.87593129
25, 38, 0, -189.4084265
45, 91, 0, 11.82952288
146, 72, 0, -675.1054852
39, 72, 0, 114.2653424
4, 62, 0, 36.78801397
132, 11, 0, 26.430677
48, 80, 0, 55.27661339
29, 82, 0, -11.39712467
140, 123, 0, 200.3062748
90, 32, 0, 99.36182609
145, 128, 0, 18.6149798
104, 80, 0, 68.44601644
27, 100, 0, -10.89639166
122, 42, 0, 5.022662973
103, 124, 0, -200.4900869
13, 137, 0, 17.3091851
52, 100, 0, -251.5639155
145, 17, 0, 20.80497743
113, 82, 0, 128.6642506
138, 48, 0, -48.91628201
12, 140, 0, -226.6288952
106, 51, 0, -93.89450952
91, 112, 0, -117.9720603
96, 101, 0, -13.95809779
11, 61, 0, 72.54881041
53, 17, 0, 465.9040457
82, 72, 0, 101.2236818
49, 145, 0, 66.06197935
13, 107, 0, -5.325903107
89, 10, 0, 795.2963899
38, 125, 0, -282.289177
80, 126, 0, -10.0687697
43, 2, 0, -25.8675581
29, 43, 0, 7.326723001
68, 26, -4, -215.639764
145, 121, 0, 17.51998099
110, 46, 0, -194.580616
147, 32, 0, -207.8477367
148, 146, 0, -30.6332968
115, 33, 0, 101.7216387
29, 45, 0, -7.326723001
46, 124, 0, 0.649272231
122, 53, 0, 10.04532595
13, 130, 0, 11.09563147
52, 99, 0, -12.73741345
128, 78, 0, 13.17141277
148, 1, 0, 12.65288346
45, 60, 0, 31.75292983
31, 121, 0, 20.96567918
55, 103, 0, -92.79915664
45, 77, 0, 14.31994875
13, 100, 0, 3.106776812
90, 131, 0, 27.09867984
3, 146, 0, 93.82183234
43, 123, 0, -13.92868513
46, 20, 0, -11.68690015
110, 49, 0, 62.76794065
41, 33, 0, 974.123289
104, 138, 0, 29.59827738
12, 51, 0, -679.8866856
26, 123, 0, -65.59165398
138, 146, 0, 11.11733682
134, 47, 0, -34.78744869
123, 75, 0, -34.82687027
126, 32, 0, 259.3624195
146, 34, 0, 16.87763713
111, 131, 0, -301.4015171
59, 121, 0, -26.99346758
45, 70, 0, -11.82952288
140, 145, 0, 38.7689564
4, 43, 0, 24.52534265
46, 31, 6, 149.9818853
56, 133, 0, 84.46035114
44, 17, 0, 213.3828716
17, 49, 0, -448.7272972
136, 140, 0, 34.58771444
138, 45, 0, 186.7712586
49, 43, 0, -389.7656782
148, 7, 0, 8.657236051
141, 80, 0, 43.49135191
108, 133, 0, 58.61441851
146, 29, 0, 219.4092827
23, 108, 0, -27.12226508
82, 29, 0, 78.72953032
3, 128, 0, 516.0200779
135, 82, 0, 41.52091097
140, 31, 0, 96.92239101
82, 51, 0, 1034.73097
58, 45, 0, 121.3776362
26, 82, 0, 24.1653462
27, 64, 0, 24.51688123
83, 31, 6, 288.7391723
12, 33, 0, 145.690004
63, 123, 0, -19.27017427
35, 128, 0, 1.902938708
148, 30, 0, 13.98476593
62, 49, 0, 140.6271973
141, 73, 0, -23.41842026
126, 82, 0, 1308.088725
146, 20, 0, 405.0632911
77, 33, 0, 2456.433074
23, 101, 0, 9.388476375
8, 77, 0, -13.07253624
82, 44, 0, 179.9532122
71, 82, 0, 19.36042825
30, 72, 0, -135.2048969
1, 50, 0, 21.44149202
39, 101, 0, 73.12981914
100, 21, 0, -15.57782839
135, 75, 0, 41.52091097
11, 121, 0, 25.6054625
72, 121, 0, 59.34397928
145, 101, 0, 29.56496792
33, 122, 0, 88.25670935
122, 73, 0, 144.2221796
123, 77, 0, 42.86384033
51, 79, 0, 179.9811838
24, 107, 0, -117.7255425
63, 138, 0, 128.4678284
13, 55, 0, -12.87093251
96, 31, 0, 160.5181246
149, 2, 0, -7.081629152
139, 52, 0, 919.8691742
23, 123, 0, 38.59706954
72, 17, 0, 107.8981442
71, 75, 0, 145.2032119
114, 33, 0, 107.35867
135, 64, 0, 72.6615942
20, 131, 0, 129.3460265
144, 72, 0, 86.88303761
145, 94, 0, 15.32998337
93, 107, 0, 264.2209592
83, 45, 0, 914.3407122
51, 84, 0, -130.8954064
6, 70, 0, 74.50732034
45, 25, 0, -1.867819402
84, 20, 0, -67.05199211
123, 51, 0, 24.11091019
13, 48, 0, -70.12439091
141, 123, 0, 46.83684052
35, 31, 0, -39.96171287
6, 114, 0, -208.620497
55, 64, 0, -25.98376386
39, 138, 0, -41.13552327
116, 82, 0, 5.642115003
8, 123, 0, 65.36268118
64, 72, 0, -211.4475886
50, 55, -4, -2.016442069
71, 64, 0, 29.04064238
80, 72, 0, -115.7908515
90, 17, 0, -85.81248617
144, 21, 0, 18.56475163
93, 100, 0, -88.07365306
115, 11, 0, 108.0792412
79, 49, 0, 328.5960733
11, 80, 0, -34.14061666
138, 126, 0, 86.71522719
122, 91, 0, 7.175232818
148, 43, 0, 12.65288346
102, 77, 0, 88.24986932
35, 101, 0, -97.04987412
38, 51, 0, -131.7349493
39, 131, 0, 36.56490957
136, 55, 0, 234.1322209
63, 9, 0, 17.12904379
80, 45, 0, 176.2034697
50, 46, 0, 66.54258826
72, 31, 0, 237.3759171
53, 99, 0, -32.8873444
39, 16, 0, 29.70898903
80, 79, 0, 95.65331212
145, 72, 0, -26.27997149
128, 128, 0, -214.0354574
147, 83, 0, 37.11566727
4, 133, 0, 9.81013706
5, 17, 0, -212.596824
100, 145, 0, 18.69339407
122, 21, 0, -10.04532595
138, 121, 0, 40.02241255
47, 33, 0, 120.0168024
30, 43, 0, -98.33083409
55, 33, 0, 118.7829205
148, 50, 0, -11.98694222
116, 49, 0, 67.70538004
45, 11, 0, 9.961703476
